slope,intercept,R2,STD,LOD,n,Na,Ca,K,Mg,metal,load
0.553,0.194,0.998,0.0476,0.258,18,250.0,250.0,250.0,0.0,Zn,750.0
0.0623,0.461,0.994,0.00242,0.117,18,250.0,250.0,250.0,250.0,Cu,1000.0
0.048,-0.0374,0.992,0.00162,0.101,18,250.0,250.0,250.0,250.0,Ni,1000.0
0.378,0.136,0.996,0.00253,0.0201,18,250.0,250.0,250.0,250.0,Zn,1000.0
0.0609,0.459,0.996,0.00141,0.0696,18,250.0,250.0,250.0,500.0,Cu,1250.0
0.0457,-0.0415,0.992,0.00156,0.102,18,250.0,250.0,250.0,500.0,Ni,1250.0
0.298,0.161,0.994,0.00587,0.059,18,250.0,250.0,250.0,500.0,Zn,1250.0
0.0702,0.462,0.992,0.00164,0.0702,18,250.0,250.0,500.0,0.0,Cu,1000.0
0.0468,-0.0332,0.993,0.0047,0.301,18,250.0,250.0,500.0,0.0,Ni,1000.0
0.659,0.183,0.998,0.0126,0.0572,18,250.0,250.0,500.0,0.0,Zn,1000.0
0.0765,0.426,0.998,0.00135,0.0531,18,250.0,500.0,0.0,0.0,Cu,750.0
0.0541,-0.0403,0.983,0.000876,0.0486,18,250.0,500.0,0.0,0.0,Ni,750.0
0.43,0.173,0.998,0.0107,0.0746,18,250.0,500.0,0.0,0.0,Zn,750.0
0.0871,0.402,0.997,0.00663,0.228,18,375.0,0.0,0.0,0.0,Cu,375.0
0.0595,-0.0349,0.989,0.0037,0.186,18,375.0,0.0,0.0,0.0,Ni,375.0
0.48,0.232,0.995,0.0219,0.137,18,375.0,0.0,0.0,0.0,Zn,375.0
0.0744,0.435,0.996,0.00244,0.0986,18,375.0,125.0,0.0,0.0,Cu,500.0
0.0521,-0.039,0.991,0.00254,0.146,18,375.0,125.0,0.0,0.0,Ni,500.0
0.512,0.172,0.998,0.00841,0.0493,18,375.0,125.0,0.0,0.0,Zn,500.0
0.071,0.455,0.995,0.00498,0.21,18,375.0,375.0,0.0,0.0,Cu,750.0
0.0482,-0.0378,0.992,0.00261,0.162,18,375.0,375.0,0.0,0.0,Ni,750.0
0.463,0.171,0.998,0.00607,0.0393,18,375.0,375.0,0.0,0.0,Zn,750.0
0.0866,0.398,0.998,0.00153,0.0531,18,500.0,0.0,0.0,0.0,Cu,500.0
0.0596,-0.0383,0.988,0.0058,0.292,18,500.0,0.0,0.0,0.0,Ni,500.0
0.531,0.23,0.997,0.0222,0.125,18,500.0,0.0,0.0,0.0,Zn,500.0
0.074,0.436,0.997,0.0038,0.154,18,500.0,250.0,0.0,0.0,Cu,750.0
0.0471,-0.036,0.981,0.00434,0.276,18,500.0,250.0,0.0,0.0,Ni,750.0
0.561,0.18,0.996,0.0187,0.0997,18,500.0,250.0,0.0,0.0,Zn,750.0
0.0699,0.457,0.996,0.00456,0.196,18,500.0,500.0,0.0,0.0,Cu,1000.0
0.0479,-0.0365,0.994,0.00396,0.248,18,500.0,500.0,0.0,0.0,Ni,1000.0
0.479,0.173,0.997,0.00847,0.053,18,500.0,500.0,0.0,0.0,Zn,1000.0
0.0654,0.458,0.995,0.00461,0.212,18,500.0,500.0,250.0,0.0,Cu,1250.0
0.0491,-0.0453,0.993,0.00141,0.086,18,500.0,500.0,250.0,0.0,Ni,1250.0
0.548,0.162,0.998,0.00345,0.0189,18,500.0,500.0,250.0,0.0,Zn,1250.0
0.0639,0.458,0.997,0.00469,0.22,18,500.0,500.0,500.0,0.0,Cu,1500.0
0.0432,-0.0397,0.989,0.00236,0.164,18,500.0,500.0,500.0,0.0,Ni,1500.0
0.595,0.15,0.997,0.00211,0.0107,18,500.0,500.0,500.0,0.0,Zn,1500.0
0.0615,0.46,0.994,0.00114,0.0558,18,500.0,500.0,500.0,250.0,Cu,1750.0
0.0427,-0.0412,0.992,0.00234,0.164,18,500.0,500.0,500.0,250.0,Ni,1750.0
0.434,0.16,0.996,0.00639,0.0442,18,500.0,500.0,500.0,250.0,Zn,1750.0
0.0646,0.456,0.998,0.00261,0.121,18,500.0,500.0,500.0,500.0,Cu,2000.0
0.0463,-0.0501,0.992,0.00322,0.209,18,500.0,500.0,500.0,500.0,Ni,2000.0
0.349,0.14,0.994,0.00609,0.0524,18,500.0,500.0,500.0,500.0,Zn,2000.0
