Na,Ca,K,Mg,Cu,Ni,Zn,Cu_pred,Cu_err,Ni_pred,Ni_err,Zn_pred,Zn_err
0.0,0.0,250.0,0.0,4.0,4.0,4.0,3.27,-0.73,3.27,-0.726,3.94,-0.0583
0.0,0.0,375.0,0.0,4.0,4.0,4.0,2.92,-1.08,3.05,-0.955,4.01,0.00669
0.0,0.0,375.0,0.0,4.0,4.0,4.0,3.2,-0.8,3.12,-0.885,4.05,0.0543
0.0,0.0,375.0,0.0,4.0,4.0,4.0,3.17,-0.835,3.04,-0.963,4.11,0.109
0.0,0.0,500.0,0.0,4.0,4.0,4.0,3.14,-0.856,3.1,-0.902,4.41,0.41
0.0,0.0,500.0,0.0,4.0,4.0,4.0,2.99,-1.01,2.94,-1.06,4.47,0.466
0.0,0.0,500.0,0.0,4.0,4.0,4.0,3.06,-0.94,2.81,-1.19,4.44,0.439
0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.02,0.0207,5.47,0.468,5.32,0.315
0.0,0.0,0.0,0.0,5.0,5.0,5.0,4.96,-0.0368,5.32,0.316,5.21,0.213
0.0,0.0,0.0,0.0,5.0,5.0,5.0,4.97,-0.025,5.55,0.553,5.48,0.482
0.0,0.0,125.0,0.0,5.0,5.0,5.0,4.39,-0.612,4.27,-0.728,4.55,-0.454
0.0,0.0,125.0,0.0,5.0,5.0,5.0,4.45,-0.546,4.35,-0.653,4.57,-0.427
0.0,0.0,125.0,0.0,5.0,5.0,5.0,4.41,-0.586,4.31,-0.694,4.38,-0.617
0.0,0.0,250.0,0.0,5.0,5.0,5.0,4.18,-0.819,3.97,-1.03,4.76,-0.236
0.0,0.0,250.0,0.0,5.0,5.0,5.0,4.05,-0.952,4.24,-0.758,4.66,-0.343
0.0,0.0,250.0,0.0,5.0,5.0,5.0,4.14,-0.864,4.3,-0.701,4.82,-0.176
0.0,0.0,375.0,0.0,5.0,5.0,5.0,4.03,-0.972,4.01,-0.986,5.32,0.315
0.0,0.0,375.0,0.0,5.0,5.0,5.0,4.05,-0.946,4.01,-0.986,5.1,0.102
0.0,0.0,375.0,0.0,5.0,5.0,5.0,4.03,-0.974,4.02,-0.98,5.11,0.107
0.0,0.0,500.0,0.0,5.0,5.0,5.0,3.84,-1.16,3.78,-1.22,5.47,0.473
0.0,0.0,500.0,0.0,5.0,5.0,5.0,3.86,-1.14,3.64,-1.36,5.4,0.405
0.0,0.0,500.0,0.0,5.0,5.0,5.0,3.87,-1.13,3.79,-1.21,5.52,0.519
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.418,-0.418,0.155,0.155,0.0785,0.0785
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.354,-0.354,0.194,0.194,0.0676,0.0676
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.411,-0.411,0.253,0.253,0.0565,0.0565
0.0,0.0,0.0,125.0,0.0,0.0,0.0,-0.354,-0.354,0.285,0.285,0.126,0.126
0.0,0.0,0.0,125.0,0.0,0.0,0.0,-0.333,-0.333,0.217,0.217,0.107,0.107
0.0,0.0,0.0,125.0,0.0,0.0,0.0,-0.359,-0.359,0.124,0.124,0.092,0.092
0.0,0.0,0.0,250.0,0.0,0.0,0.0,-0.517,-0.517,0.161,0.161,0.087,0.087
0.0,0.0,0.0,250.0,0.0,0.0,0.0,-0.48,-0.48,0.289,0.289,0.083,0.083
0.0,0.0,0.0,250.0,0.0,0.0,0.0,-0.506,-0.506,0.252,0.252,0.09,0.09
0.0,0.0,0.0,375.0,0.0,0.0,0.0,-0.366,-0.366,0.21,0.21,0.104,0.104
0.0,0.0,0.0,375.0,0.0,0.0,0.0,-0.478,-0.478,0.205,0.205,0.124,0.124
0.0,0.0,0.0,375.0,0.0,0.0,0.0,-0.346,-0.346,0.223,0.223,0.129,0.129
0.0,0.0,0.0,500.0,0.0,0.0,0.0,-0.496,-0.496,0.0832,0.0832,0.0934,0.0934
0.0,0.0,0.0,500.0,0.0,0.0,0.0,-0.438,-0.438,0.181,0.181,0.118,0.118
0.0,0.0,0.0,500.0,0.0,0.0,0.0,-0.401,-0.401,0.283,0.283,0.1,0.1
0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.726,-0.274,1.04,0.0358,1.09,0.0908
0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.744,-0.256,1.05,0.0543,1.07,0.0693
0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.818,-0.182,1.08,0.0811,0.996,-0.00383
0.0,0.0,0.0,125.0,1.0,1.0,1.0,0.583,-0.417,0.851,-0.149,0.868,-0.132
0.0,0.0,0.0,125.0,1.0,1.0,1.0,0.618,-0.382,0.823,-0.177,0.898,-0.102
0.0,0.0,0.0,125.0,1.0,1.0,1.0,0.634,-0.366,0.918,-0.0823,0.817,-0.183
0.0,0.0,0.0,250.0,1.0,1.0,1.0,0.529,-0.471,0.862,-0.138,0.848,-0.152
0.0,0.0,0.0,250.0,1.0,1.0,1.0,0.492,-0.508,0.861,-0.139,0.787,-0.213
0.0,0.0,0.0,250.0,1.0,1.0,1.0,0.5,-0.5,0.973,-0.0275,0.832,-0.168
0.0,0.0,0.0,375.0,1.0,1.0,1.0,0.514,-0.486,0.83,-0.17,0.883,-0.117
0.0,0.0,0.0,375.0,1.0,1.0,1.0,0.437,-0.563,0.842,-0.158,0.819,-0.181
0.0,0.0,0.0,375.0,1.0,1.0,1.0,0.486,-0.514,0.679,-0.321,0.859,-0.141
0.0,0.0,0.0,500.0,1.0,1.0,1.0,0.488,-0.512,0.677,-0.323,0.746,-0.254
0.0,0.0,0.0,500.0,1.0,1.0,1.0,0.533,-0.467,0.667,-0.333,0.879,-0.121
0.0,0.0,0.0,500.0,1.0,1.0,1.0,0.483,-0.517,0.588,-0.412,0.742,-0.258
0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.84,-0.16,1.99,-0.0146,2.15,0.155
0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.86,-0.143,2.02,0.0199,2.13,0.131
0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.89,-0.109,1.78,-0.222,2.04,0.0395
0.0,0.0,0.0,125.0,2.0,2.0,2.0,1.48,-0.52,1.56,-0.445,1.7,-0.299
0.0,0.0,0.0,125.0,2.0,2.0,2.0,1.62,-0.383,1.46,-0.542,1.86,-0.137
0.0,0.0,0.0,125.0,2.0,2.0,2.0,1.46,-0.536,1.53,-0.472,1.77,-0.226
0.0,0.0,0.0,250.0,2.0,2.0,2.0,1.35,-0.647,1.36,-0.645,1.73,-0.271
0.0,0.0,0.0,250.0,2.0,2.0,2.0,1.36,-0.643,1.33,-0.671,1.7,-0.302
0.0,0.0,0.0,250.0,2.0,2.0,2.0,1.34,-0.659,1.47,-0.53,1.75,-0.25
0.0,0.0,0.0,375.0,2.0,2.0,2.0,1.39,-0.606,1.36,-0.643,1.65,-0.352
0.0,0.0,0.0,375.0,2.0,2.0,2.0,1.32,-0.684,1.34,-0.663,1.7,-0.302
0.0,0.0,0.0,375.0,2.0,2.0,2.0,1.26,-0.742,1.3,-0.699,1.69,-0.314
0.0,0.0,0.0,500.0,2.0,2.0,2.0,1.33,-0.668,1.23,-0.765,1.63,-0.365
0.0,0.0,0.0,500.0,2.0,2.0,2.0,1.3,-0.7,1.2,-0.799,1.67,-0.327
0.0,0.0,0.0,500.0,2.0,2.0,2.0,1.23,-0.767,1.13,-0.873,1.6,-0.403
0.0,0.0,0.0,0.0,3.0,3.0,3.0,2.94,-0.0591,3.06,0.0627,3.2,0.2
0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.02,0.0184,3.18,0.18,3.26,0.261
0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.01,0.0139,3.29,0.287,3.19,0.192
0.0,0.0,0.0,125.0,3.0,3.0,3.0,2.55,-0.446,2.52,-0.481,2.76,-0.239
0.0,0.0,0.0,125.0,3.0,3.0,3.0,2.59,-0.408,2.55,-0.446,2.66,-0.337
0.0,0.0,0.0,125.0,3.0,3.0,3.0,2.58,-0.42,2.55,-0.45,2.81,-0.186
0.0,0.0,0.0,250.0,3.0,3.0,3.0,2.28,-0.718,2.16,-0.842,2.64,-0.362
0.0,0.0,0.0,250.0,3.0,3.0,3.0,2.15,-0.846,2.07,-0.928,2.45,-0.549
0.0,0.0,0.0,250.0,3.0,3.0,3.0,2.24,-0.761,2.21,-0.787,2.53,-0.467
0.0,0.0,0.0,375.0,3.0,3.0,3.0,2.21,-0.792,1.77,-1.23,2.46,-0.543
0.0,0.0,0.0,375.0,3.0,3.0,3.0,2.25,-0.751,1.99,-1.01,2.38,-0.621
0.0,0.0,0.0,375.0,3.0,3.0,3.0,2.28,-0.725,1.91,-1.09,2.43,-0.569
0.0,0.0,0.0,500.0,3.0,3.0,3.0,3.03,0.0334,2.38,-0.617,3.13,0.129
0.0,0.0,0.0,500.0,3.0,3.0,3.0,2.91,-0.0891,2.64,-0.364,3.0,0.0047
0.0,0.0,0.0,500.0,3.0,3.0,3.0,2.94,-0.0616,2.47,-0.53,3.14,0.138
0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,-0.00259,4.27,0.274,4.3,0.303
0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.17,0.166,4.55,0.55,4.65,0.647
0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.17,0.168,4.51,0.507,4.35,0.345
0.0,0.0,0.0,125.0,4.0,4.0,4.0,3.3,-0.703,3.43,-0.572,3.51,-0.493
0.0,0.0,0.0,125.0,4.0,4.0,4.0,3.4,-0.602,3.36,-0.64,3.6,-0.405
0.0,0.0,0.0,125.0,4.0,4.0,4.0,3.47,-0.535,3.48,-0.519,3.66,-0.345
0.0,0.0,0.0,250.0,4.0,4.0,4.0,3.23,-0.773,3.03,-0.974,3.38,-0.624
0.0,0.0,0.0,250.0,4.0,4.0,4.0,3.27,-0.727,3.17,-0.832,3.54,-0.465
0.0,0.0,0.0,250.0,4.0,4.0,4.0,3.15,-0.849,3.18,-0.824,3.29,-0.71
0.0,0.0,0.0,375.0,4.0,4.0,4.0,3.98,-0.0198,3.69,-0.31,4.18,0.185
0.0,0.0,0.0,375.0,4.0,4.0,4.0,3.97,-0.0272,3.61,-0.394,4.08,0.0763
0.0,0.0,0.0,375.0,4.0,4.0,4.0,3.99,-0.00969,3.61,-0.388,4.04,0.0367
0.0,0.0,0.0,500.0,4.0,4.0,4.0,3.73,-0.272,3.22,-0.78,3.77,-0.23
0.0,0.0,0.0,500.0,4.0,4.0,4.0,3.76,-0.242,3.52,-0.48,3.86,-0.136
0.0,0.0,0.0,500.0,4.0,4.0,4.0,3.72,-0.277,3.41,-0.593,3.82,-0.177
0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,-0.0048,5.37,0.369,5.65,0.654
0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.1,0.101,5.7,0.698,5.45,0.445
0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.03,0.0286,5.46,0.461,5.37,0.366
0.0,0.0,0.0,125.0,5.0,5.0,5.0,4.15,-0.853,4.25,-0.753,4.19,-0.813
0.0,0.0,0.0,125.0,5.0,5.0,5.0,4.26,-0.742,4.24,-0.761,4.24,-0.763
0.0,0.0,0.0,125.0,5.0,5.0,5.0,4.24,-0.76,4.26,-0.739,4.5,-0.503
0.0,0.0,0.0,250.0,5.0,5.0,5.0,3.89,-1.11,3.86,-1.14,4.04,-0.958
0.0,0.0,0.0,250.0,5.0,5.0,5.0,4.03,-0.966,4.16,-0.838,4.23,-0.772
0.0,0.0,0.0,250.0,5.0,5.0,5.0,4.12,-0.879,4.09,-0.913,4.31,-0.688
0.0,0.0,0.0,375.0,5.0,5.0,5.0,4.61,-0.39,4.38,-0.617,4.76,-0.243
0.0,0.0,0.0,375.0,5.0,5.0,5.0,4.75,-0.251,4.64,-0.355,4.81,-0.193
0.0,0.0,0.0,375.0,5.0,5.0,5.0,4.68,-0.316,4.22,-0.777,4.9,-0.104
0.0,0.0,0.0,500.0,5.0,5.0,5.0,4.5,-0.499,3.86,-1.14,4.53,-0.473
0.0,0.0,0.0,500.0,5.0,5.0,5.0,4.47,-0.528,3.91,-1.09,4.34,-0.657
0.0,0.0,0.0,500.0,5.0,5.0,5.0,4.57,-0.431,3.99,-1.01,4.37,-0.625
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.138,0.138,0.179,0.179,0.111,0.111
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.188,0.188,0.167,0.167,0.049,0.049
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.161,0.161,0.209,0.209,0.0411,0.0411
125.0,125.0,0.0,0.0,0.0,0.0,0.0,0.138,0.138,0.216,0.216,0.0438,0.0438
125.0,125.0,0.0,0.0,0.0,0.0,0.0,0.106,0.106,0.305,0.305,0.0557,0.0557
125.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0233,0.0233,0.26,0.26,0.0277,0.0277
125.0,375.0,0.0,0.0,0.0,0.0,0.0,-0.145,-0.145,0.224,0.224,0.0546,0.0546
125.0,375.0,0.0,0.0,0.0,0.0,0.0,-0.0515,-0.0515,0.149,0.149,0.0315,0.0315
125.0,375.0,0.0,0.0,0.0,0.0,0.0,-0.134,-0.134,0.246,0.246,0.0603,0.0603
250.0,250.0,0.0,0.0,0.0,0.0,0.0,0.22,0.22,0.0844,0.0844,0.0831,0.0831
250.0,250.0,0.0,0.0,0.0,0.0,0.0,0.189,0.189,0.0801,0.0801,0.0527,0.0527
250.0,250.0,0.0,0.0,0.0,0.0,0.0,0.169,0.169,0.255,0.255,0.06,0.06
250.0,500.0,0.0,0.0,0.0,0.0,0.0,-0.11,-0.11,0.126,0.126,0.118,0.118
250.0,500.0,0.0,0.0,0.0,0.0,0.0,-0.137,-0.137,0.132,0.132,0.0756,0.0756
250.0,500.0,0.0,0.0,0.0,0.0,0.0,-0.137,-0.137,0.149,0.149,0.0694,0.0694
375.0,125.0,0.0,0.0,0.0,0.0,0.0,-0.077,-0.077,0.197,0.197,0.0446,0.0446
375.0,125.0,0.0,0.0,0.0,0.0,0.0,-0.035,-0.035,0.131,0.131,0.00486,0.00486
375.0,125.0,0.0,0.0,0.0,0.0,0.0,-0.0893,-0.0893,0.178,0.178,0.0155,0.0155
375.0,375.0,0.0,0.0,0.0,0.0,0.0,0.102,0.102,0.127,0.127,0.0399,0.0399
375.0,375.0,0.0,0.0,0.0,0.0,0.0,0.11,0.11,0.193,0.193,0.0586,0.0586
375.0,375.0,0.0,0.0,0.0,0.0,0.0,0.00628,0.00628,0.176,0.176,0.0693,0.0693
500.0,250.0,0.0,0.0,0.0,0.0,0.0,-0.0407,-0.0407,0.29,0.29,0.0977,0.0977
500.0,250.0,0.0,0.0,0.0,0.0,0.0,-0.037,-0.037,0.176,0.176,0.0193,0.0193
500.0,250.0,0.0,0.0,0.0,0.0,0.0,-0.115,-0.115,0.231,0.231,0.0179,0.0179
500.0,500.0,0.0,0.0,0.0,0.0,0.0,0.189,0.189,0.165,0.165,0.0691,0.0691
500.0,500.0,0.0,0.0,0.0,0.0,0.0,0.205,0.205,0.119,0.119,0.0931,0.0931
500.0,500.0,0.0,0.0,0.0,0.0,0.0,0.106,0.106,0.223,0.223,0.0518,0.0518
0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.17,0.166,0.647,-0.353,0.844,-0.156
0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.12,0.119,0.848,-0.152,0.871,-0.129
0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.22,0.221,0.911,-0.0888,0.906,-0.0943
125.0,125.0,0.0,0.0,1.0,1.0,1.0,0.901,-0.0992,0.748,-0.252,0.75,-0.25
125.0,125.0,0.0,0.0,1.0,1.0,1.0,0.953,-0.0474,0.773,-0.227,0.838,-0.162
125.0,125.0,0.0,0.0,1.0,1.0,1.0,0.917,-0.0835,0.88,-0.12,0.8,-0.2
125.0,375.0,0.0,0.0,1.0,1.0,1.0,0.774,-0.226,0.846,-0.154,0.884,-0.116
125.0,375.0,0.0,0.0,1.0,1.0,1.0,0.718,-0.282,0.739,-0.261,0.763,-0.237
125.0,375.0,0.0,0.0,1.0,1.0,1.0,0.606,-0.394,0.769,-0.231,0.861,-0.139
250.0,250.0,0.0,0.0,1.0,1.0,1.0,0.921,-0.0793,0.793,-0.207,0.843,-0.157
250.0,250.0,0.0,0.0,1.0,1.0,1.0,0.895,-0.105,0.646,-0.354,0.843,-0.157
250.0,250.0,0.0,0.0,1.0,1.0,1.0,0.946,-0.0544,0.664,-0.336,0.845,-0.155
250.0,500.0,0.0,0.0,1.0,1.0,1.0,0.618,-0.382,0.655,-0.345,0.829,-0.171
250.0,500.0,0.0,0.0,1.0,1.0,1.0,0.668,-0.332,0.742,-0.258,0.79,-0.21
250.0,500.0,0.0,0.0,1.0,1.0,1.0,0.627,-0.373,0.73,-0.27,0.788,-0.212
375.0,125.0,0.0,0.0,1.0,1.0,1.0,0.815,-0.185,0.574,-0.426,0.967,-0.0332
375.0,125.0,0.0,0.0,1.0,1.0,1.0,0.727,-0.273,0.617,-0.383,1.09,0.0857
375.0,125.0,0.0,0.0,1.0,1.0,1.0,0.7,-0.3,0.646,-0.354,1.03,0.031
375.0,375.0,0.0,0.0,1.0,1.0,1.0,0.862,-0.138,0.617,-0.383,0.875,-0.125
375.0,375.0,0.0,0.0,1.0,1.0,1.0,0.974,-0.0263,0.608,-0.392,0.873,-0.127
375.0,375.0,0.0,0.0,1.0,1.0,1.0,0.918,-0.0821,0.61,-0.39,0.896,-0.104
500.0,250.0,0.0,0.0,1.0,1.0,1.0,0.731,-0.269,0.629,-0.371,1.03,0.0296
500.0,250.0,0.0,0.0,1.0,1.0,1.0,0.685,-0.315,0.537,-0.463,1.05,0.0508
500.0,250.0,0.0,0.0,1.0,1.0,1.0,0.76,-0.24,0.694,-0.306,1.11,0.113
500.0,500.0,0.0,0.0,1.0,1.0,1.0,0.9,-0.1,0.633,-0.367,0.944,-0.0557
500.0,500.0,0.0,0.0,1.0,1.0,1.0,0.853,-0.147,0.578,-0.422,0.995,-0.00498
500.0,500.0,0.0,0.0,1.0,1.0,1.0,0.817,-0.183,0.683,-0.317,0.9,-0.0997
0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.06,0.0613,1.48,-0.524,1.82,-0.175
0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.02,0.024,1.65,-0.35,1.81,-0.187
0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.00283,1.61,-0.393,1.75,-0.253
125.0,125.0,0.0,0.0,2.0,2.0,2.0,1.66,-0.343,1.31,-0.69,1.64,-0.359
125.0,125.0,0.0,0.0,2.0,2.0,2.0,1.7,-0.305,1.27,-0.732,1.61,-0.391
125.0,125.0,0.0,0.0,2.0,2.0,2.0,1.75,-0.246,1.33,-0.666,1.66,-0.339
125.0,375.0,0.0,0.0,2.0,2.0,2.0,1.45,-0.549,1.31,-0.688,1.71,-0.295
125.0,375.0,0.0,0.0,2.0,2.0,2.0,1.43,-0.565,1.25,-0.746,1.79,-0.213
125.0,375.0,0.0,0.0,2.0,2.0,2.0,1.47,-0.534,1.37,-0.629,1.79,-0.208
250.0,250.0,0.0,0.0,2.0,2.0,2.0,1.7,-0.301,1.14,-0.863,1.79,-0.212
250.0,250.0,0.0,0.0,2.0,2.0,2.0,1.7,-0.298,1.12,-0.877,1.85,-0.154
250.0,250.0,0.0,0.0,2.0,2.0,2.0,1.71,-0.294,1.07,-0.932,1.85,-0.15
250.0,500.0,0.0,0.0,2.0,2.0,2.0,1.45,-0.546,1.28,-0.724,1.78,-0.221
250.0,500.0,0.0,0.0,2.0,2.0,2.0,1.34,-0.664,1.25,-0.755,1.73,-0.273
250.0,500.0,0.0,0.0,2.0,2.0,2.0,1.39,-0.606,1.09,-0.906,1.69,-0.31
375.0,125.0,0.0,0.0,2.0,2.0,2.0,1.46,-0.536,1.08,-0.916,2.05,0.0504
375.0,125.0,0.0,0.0,2.0,2.0,2.0,1.43,-0.567,1.17,-0.829,2.17,0.17
375.0,125.0,0.0,0.0,2.0,2.0,2.0,1.49,-0.514,1.24,-0.762,2.2,0.202
375.0,375.0,0.0,0.0,2.0,2.0,2.0,1.56,-0.444,1.12,-0.882,1.84,-0.164
375.0,375.0,0.0,0.0,2.0,2.0,2.0,1.56,-0.442,1.09,-0.912,1.84,-0.16
375.0,375.0,0.0,0.0,2.0,2.0,2.0,1.56,-0.435,1.11,-0.888,1.92,-0.083
500.0,250.0,0.0,0.0,2.0,2.0,2.0,1.49,-0.508,0.984,-1.02,2.29,0.289
500.0,250.0,0.0,0.0,2.0,2.0,2.0,1.51,-0.486,1.07,-0.928,2.4,0.403
500.0,250.0,0.0,0.0,2.0,2.0,2.0,1.46,-0.544,1.13,-0.873,2.33,0.331
500.0,500.0,0.0,0.0,2.0,2.0,2.0,1.45,-0.551,1.09,-0.91,1.84,-0.156
500.0,500.0,0.0,0.0,2.0,2.0,2.0,1.67,-0.332,1.08,-0.923,1.94,-0.0581
500.0,500.0,0.0,0.0,2.0,2.0,2.0,1.64,-0.359,1.11,-0.887,1.89,-0.114
0.0,0.0,0.0,0.0,3.0,3.0,3.0,2.91,-0.0852,2.51,-0.49,2.65,-0.347
0.0,0.0,0.0,0.0,3.0,3.0,3.0,2.93,-0.0691,2.48,-0.516,2.71,-0.289
0.0,0.0,0.0,0.0,3.0,3.0,3.0,2.92,-0.0831,2.64,-0.361,2.64,-0.358
125.0,125.0,0.0,0.0,3.0,3.0,3.0,2.36,-0.637,1.86,-1.14,2.31,-0.693
125.0,125.0,0.0,0.0,3.0,3.0,3.0,2.41,-0.593,1.9,-1.1,2.38,-0.622
125.0,125.0,0.0,0.0,3.0,3.0,3.0,2.46,-0.538,1.96,-1.04,2.46,-0.537
125.0,375.0,0.0,0.0,3.0,3.0,3.0,2.22,-0.776,1.68,-1.32,2.7,-0.298
125.0,375.0,0.0,0.0,3.0,3.0,3.0,2.19,-0.812,2.1,-0.904,2.78,-0.22
125.0,375.0,0.0,0.0,3.0,3.0,3.0,2.15,-0.848,1.77,-1.23,2.64,-0.358
250.0,250.0,0.0,0.0,3.0,3.0,3.0,2.46,-0.536,1.88,-1.12,2.85,-0.152
250.0,250.0,0.0,0.0,3.0,3.0,3.0,2.31,-0.686,1.71,-1.29,2.66,-0.343
250.0,250.0,0.0,0.0,3.0,3.0,3.0,2.31,-0.687,1.8,-1.2,2.72,-0.284
250.0,500.0,0.0,0.0,3.0,3.0,3.0,2.09,-0.905,1.64,-1.36,2.66,-0.337
250.0,500.0,0.0,0.0,3.0,3.0,3.0,2.16,-0.836,1.63,-1.37,2.73,-0.265
250.0,500.0,0.0,0.0,3.0,3.0,3.0,2.06,-0.942,1.69,-1.31,2.68,-0.318
375.0,125.0,0.0,0.0,3.0,3.0,3.0,1.96,-1.04,1.63,-1.37,2.96,-0.0401
375.0,125.0,0.0,0.0,3.0,3.0,3.0,2.16,-0.838,1.73,-1.27,3.14,0.141
375.0,125.0,0.0,0.0,3.0,3.0,3.0,2.09,-0.908,1.77,-1.23,3.18,0.176
375.0,375.0,0.0,0.0,3.0,3.0,3.0,2.32,-0.684,1.55,-1.45,2.94,-0.0582
375.0,375.0,0.0,0.0,3.0,3.0,3.0,2.28,-0.72,1.63,-1.37,2.93,-0.0662
375.0,375.0,0.0,0.0,3.0,3.0,3.0,2.3,-0.699,1.48,-1.52,2.75,-0.246
500.0,250.0,0.0,0.0,3.0,3.0,3.0,2.18,-0.818,1.48,-1.52,3.47,0.466
500.0,250.0,0.0,0.0,3.0,3.0,3.0,2.05,-0.95,1.53,-1.47,3.46,0.458
500.0,250.0,0.0,0.0,3.0,3.0,3.0,2.11,-0.894,1.49,-1.51,3.66,0.663
500.0,500.0,0.0,0.0,3.0,3.0,3.0,2.25,-0.746,1.59,-1.41,3.16,0.155
500.0,500.0,0.0,0.0,3.0,3.0,3.0,2.29,-0.708,1.62,-1.38,2.95,-0.05
500.0,500.0,0.0,0.0,3.0,3.0,3.0,2.26,-0.736,1.59,-1.41,2.88,-0.118
0.0,0.0,0.0,0.0,4.0,4.0,4.0,3.78,-0.224,3.48,-0.519,3.63,-0.372
0.0,0.0,0.0,0.0,4.0,4.0,4.0,3.89,-0.114,3.62,-0.376,3.81,-0.188
0.0,0.0,0.0,0.0,4.0,4.0,4.0,3.81,-0.19,3.31,-0.694,3.57,-0.428
125.0,125.0,0.0,0.0,4.0,4.0,4.0,3.05,-0.947,2.56,-1.44,2.84,-1.16
125.0,125.0,0.0,0.0,4.0,4.0,4.0,3.08,-0.918,2.73,-1.27,3.13,-0.868
125.0,125.0,0.0,0.0,4.0,4.0,4.0,3.1,-0.905,2.53,-1.47,3.27,-0.733
125.0,375.0,0.0,0.0,4.0,4.0,4.0,3.07,-0.931,2.7,-1.3,3.58,-0.421
125.0,375.0,0.0,0.0,4.0,4.0,4.0,2.93,-1.07,2.45,-1.55,3.48,-0.525
125.0,375.0,0.0,0.0,4.0,4.0,4.0,2.97,-1.03,2.6,-1.4,3.59,-0.405
250.0,250.0,0.0,0.0,4.0,4.0,4.0,2.95,-1.05,2.37,-1.63,3.53,-0.466
250.0,250.0,0.0,0.0,4.0,4.0,4.0,2.91,-1.09,2.27,-1.73,3.67,-0.325
250.0,250.0,0.0,0.0,4.0,4.0,4.0,2.88,-1.12,2.18,-1.82,3.47,-0.53
250.0,500.0,0.0,0.0,4.0,4.0,4.0,2.8,-1.2,2.2,-1.8,3.34,-0.662
250.0,500.0,0.0,0.0,4.0,4.0,4.0,2.84,-1.16,2.45,-1.55,3.52,-0.481
250.0,500.0,0.0,0.0,4.0,4.0,4.0,2.84,-1.16,2.32,-1.68,3.52,-0.475
375.0,125.0,0.0,0.0,4.0,4.0,4.0,2.95,-1.05,2.37,-1.63,4.18,0.177
375.0,125.0,0.0,0.0,4.0,4.0,4.0,2.83,-1.17,2.48,-1.52,4.01,0.0143
375.0,125.0,0.0,0.0,4.0,4.0,4.0,2.77,-1.23,2.18,-1.82,4.14,0.143
375.0,375.0,0.0,0.0,4.0,4.0,4.0,2.88,-1.12,2.22,-1.78,3.8,-0.202
375.0,375.0,0.0,0.0,4.0,4.0,4.0,2.91,-1.09,2.16,-1.84,3.78,-0.217
375.0,375.0,0.0,0.0,4.0,4.0,4.0,2.88,-1.12,2.23,-1.77,3.84,-0.165
500.0,250.0,0.0,0.0,4.0,4.0,4.0,2.85,-1.15,2.1,-1.9,4.66,0.655
500.0,250.0,0.0,0.0,4.0,4.0,4.0,2.83,-1.17,2.11,-1.89,4.57,0.575
500.0,250.0,0.0,0.0,4.0,4.0,4.0,2.71,-1.29,2.19,-1.81,4.53,0.531
500.0,500.0,0.0,0.0,4.0,4.0,4.0,2.78,-1.22,2.25,-1.75,3.87,-0.129
500.0,500.0,0.0,0.0,4.0,4.0,4.0,2.8,-1.2,2.18,-1.82,3.98,-0.0152
500.0,500.0,0.0,0.0,4.0,4.0,4.0,2.83,-1.17,2.13,-1.87,3.76,-0.237
0.0,0.0,0.0,0.0,5.0,5.0,5.0,4.63,-0.369,4.54,-0.458,4.28,-0.725
0.0,0.0,0.0,0.0,5.0,5.0,5.0,4.58,-0.417,4.64,-0.365,4.37,-0.632
0.0,0.0,0.0,0.0,5.0,5.0,5.0,4.53,-0.472,4.45,-0.551,4.4,-0.603
125.0,125.0,0.0,0.0,5.0,5.0,5.0,3.83,-1.17,3.36,-1.64,3.93,-1.07
125.0,125.0,0.0,0.0,5.0,5.0,5.0,3.73,-1.27,3.55,-1.45,3.91,-1.09
125.0,125.0,0.0,0.0,5.0,5.0,5.0,3.81,-1.19,3.52,-1.48,3.83,-1.17
