Na,Ca,K,Mg,Cu,Ni,Zn,Cu_pred,Cu_err,Ni_pred,Ni_err,Zn_pred,Zn_err
500.0,0.0,0.0,0.0,3.0,3.0,3.0,2.15,-0.847,1.99,-1.01,3.42,0.418
500.0,0.0,0.0,0.0,3.0,3.0,3.0,2.15,-0.854,1.8,-1.2,3.57,0.567
500.0,0.0,0.0,0.0,3.0,3.0,3.0,2.19,-0.809,1.95,-1.05,3.35,0.35
0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.37,0.366,4.13,0.132,4.03,0.0289
0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.32,0.316,4.14,0.145,4.11,0.108
0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.32,0.316,4.16,0.162,4.11,0.109
125.0,0.0,0.0,0.0,4.0,4.0,4.0,3.54,-0.46,3.15,-0.851,3.12,-0.876
125.0,0.0,0.0,0.0,4.0,4.0,4.0,3.51,-0.491,3.1,-0.896,3.07,-0.926
125.0,0.0,0.0,0.0,4.0,4.0,4.0,3.46,-0.538,3.1,-0.895,3.19,-0.812
250.0,0.0,0.0,0.0,4.0,4.0,4.0,3.31,-0.687,2.76,-1.24,3.39,-0.606
250.0,0.0,0.0,0.0,4.0,4.0,4.0,3.27,-0.733,2.89,-1.11,3.37,-0.633
250.0,0.0,0.0,0.0,4.0,4.0,4.0,3.26,-0.738,2.86,-1.14,3.42,-0.581
375.0,0.0,0.0,0.0,4.0,4.0,4.0,2.92,-1.08,2.57,-1.43,4.16,0.162
375.0,0.0,0.0,0.0,4.0,4.0,4.0,3.05,-0.953,2.81,-1.19,4.15,0.148
375.0,0.0,0.0,0.0,4.0,4.0,4.0,2.99,-1.01,2.68,-1.32,4.11,0.113
500.0,0.0,0.0,0.0,4.0,4.0,4.0,2.78,-1.22,2.64,-1.36,4.4,0.396
500.0,0.0,0.0,0.0,4.0,4.0,4.0,2.89,-1.11,2.53,-1.47,4.26,0.261
500.0,0.0,0.0,0.0,4.0,4.0,4.0,2.92,-1.08,2.74,-1.26,4.51,0.506
0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,-0.00119,4.96,-0.0358,4.87,-0.131
0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.17,0.174,5.22,0.216,5.16,0.157
0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.16,0.156,5.4,0.404,5.03,0.025
125.0,0.0,0.0,0.0,5.0,5.0,5.0,4.26,-0.736,3.99,-1.01,3.72,-1.28
125.0,0.0,0.0,0.0,5.0,5.0,5.0,4.36,-0.644,4.33,-0.672,3.9,-1.1
125.0,0.0,0.0,0.0,5.0,5.0,5.0,4.33,-0.671,4.03,-0.966,3.74,-1.26
250.0,0.0,0.0,0.0,5.0,5.0,5.0,4.0,-1.0,3.63,-1.37,4.04,-0.963
250.0,0.0,0.0,0.0,5.0,5.0,5.0,4.2,-0.805,3.63,-1.37,4.28,-0.72
250.0,0.0,0.0,0.0,5.0,5.0,5.0,4.02,-0.978,3.74,-1.26,4.13,-0.867
375.0,0.0,0.0,0.0,5.0,5.0,5.0,3.65,-1.35,3.5,-1.5,4.72,-0.283
